days,T,L,A,V
0.0,1001.0344990789808,0.0,0.0,0.0009959369328174643
100.0,997.3486149655371,4.0293173348120785e-05,4.7070049679998614e-07,6.533272552685988e-05
200.0,994.2583046418908,0.00019913283662933523,2.325423864790657e-06,0.0003163533251122538
300.0,994.4118577708149,0.0009466820468978674,1.0983895745173815e-05,0.0015453900798288107
400.0,1003.1795140198769,0.004592197453838692,5.466880555690447e-05,0.007588865775225758
500.0,1008.3416878053445,0.022614385541136577,0.0002639804621978723,0.036108918196893075
600.0,981.338902077515,0.10905216741297898,0.001289205575995898,0.17397301742062765
700.0,1004.8267830791215,0.5282897180375117,0.006048475115785444,0.8510358352292364
800.0,996.3746153046512,2.5312790719899065,0.029751875398523746,4.048101863284372
900.0,975.8437970043285,11.688003270975548,0.13754609003878593,19.594241409212433
1000.0,931.2290652142349,50.561952594327224,0.5992601996407895,83.6800258877596
1100.0,785.2485053390594,158.48472466303258,1.923711579785116,263.9914586946761
1200.0,601.4806300614582,265.3748150297658,3.2870449660998404,458.65747880292895
1300.0,547.2456479861949,283.2365174685089,3.588879976498505,485.389865491305
1400.0,548.8137535629262,275.87783020633935,3.4825424559670113,488.597830121266
1500.0,543.3135032156808,276.12622245635237,3.462931491902469,478.83109747476027
1600.0,561.6307232070928,278.14974206247996,3.4549868121222596,485.55820427847175
1700.0,549.6853664100355,270.4943755037828,3.4369355915027944,482.5077802531485
1800.0,543.4677149245327,277.3417169848897,3.4920015837465783,480.7880910130061
1900.0,545.7144032473512,276.9116672262238,3.4671782512559504,470.8748445696024
2000.0,539.3078060467918,274.9754782336315,3.4449156513021886,477.1464615058133
2100.0,539.0640867221989,279.3642612800734,3.4258226561332568,490.06987048766115
2200.0,539.3057577182651,278.6549641605319,3.491142305746633,483.56891103918537
2300.0,549.8981667062586,276.3403228311021,3.4996766202737937,471.66451273711124
2400.0,536.9434174790277,279.86422631679295,3.4408230402448066,487.1491493436416
2500.0,554.9713002027153,278.3795808076487,3.438893686784357,480.83284285720714
2600.0,542.695916179591,273.7830442732568,3.444925271308787,487.01818601882013
2700.0,549.3612510975382,278.0889261264145,3.4607949266401814,479.25920906083803
2800.0,546.6264155920976,275.7037610750092,3.5084720871815978,481.13142750858265
2900.0,551.3990485423714,274.5666245756765,3.452926420978789,471.56152810166583
3000.0,546.7164711792689,274.2539004082366,3.430952073810524,487.82952146020733
3100.0,563.2608257943558,278.7065799513996,3.411032570101585,485.1215606304882
3200.0,548.108892572115,279.85200897862944,3.4407438683324414,482.6450709078553
3300.0,541.2963382426587,278.01767892891223,3.4608657417225386,482.09349543563025
3400.0,549.3902817556501,275.5988624518184,3.430917674772212,483.8258482430737
3500.0,554.9218543905371,278.5895925368246,3.4789378624861693,475.2144486787806
3600.0,544.9561229526768,283.0593229588613,3.4866887737171584,478.3564367972049
