days,T,L,A,V
0.0,1006.412553998131,0.0,0.0,0.0010219865863595762
100.0,1009.7312635401919,2.545560989012204e-05,3.0300450744218306e-07,3.600153457226882e-05
200.0,1000.7309885579278,7.721700670616728e-05,9.181274398925316e-07,0.00010804980827999593
300.0,997.1303132993146,0.00022759707467634446,2.78224720786914e-06,0.0003246903947362873
400.0,985.636657831016,0.0006850227105652477,8.093792188673604e-06,0.0009653524088965278
500.0,978.712932445651,0.0020180858421264816,2.4080876147569873e-05,0.0029122111312833874
600.0,987.3848259204048,0.006086218808541937,7.285359336921355e-05,0.008580969718299964
700.0,1001.68308283322,0.018212056565351097,0.00022012561465540648,0.025707692657929226
800.0,993.1003440805606,0.05431700749775685,0.0006427879984667993,0.07566659784106922
900.0,1000.4242192071013,0.1612741882779812,0.0019203767675229377,0.2309909135662579
1000.0,1012.0906429164255,0.47860663498728984,0.005766776635531878,0.683165819296843
1100.0,985.5407289338831,1.4479198633489372,0.017114290762585558,2.0343233274678236
1200.0,1010.8119366368816,4.227327144823739,0.05006113338197708,5.934742414969515
1300.0,986.1261060413747,12.234456524589799,0.14304790226199515,17.382981389503975
1400.0,963.1415842352803,33.71228765919476,0.4061122572977707,48.3168758104065
1500.0,896.1720057272327,78.96922665169431,0.9821952440866206,113.86808842569486
1600.0,797.4621373615938,147.47432776132825,1.8211105423854186,218.6485047486758
1700.0,704.935463185213,202.5132692994055,2.5211258935106677,306.34947884504976
1800.0,657.7563057334787,225.61051354314608,2.7667430337241967,331.0790463580894
1900.0,629.1466593105167,227.4397163497997,2.8375201248511535,338.7185617685237
2000.0,638.2787284805083,224.67565259187202,2.855581814815622,335.67889691836467
2100.0,637.4635624007016,227.91438056471137,2.8164296681052323,341.47896553284954
2200.0,637.7677399699153,230.09685537301976,2.872236610209165,338.7129752082687
2300.0,655.1854042164383,227.3135248355563,2.8688649977477456,335.6669861830366
2400.0,647.155804965129,226.56242240323868,2.8259828312531705,334.34594542079316
2500.0,645.4319011444719,228.7225717907406,2.835751661773622,334.7111092808947
2600.0,649.7763621014235,225.69561067955922,2.8508957878354146,335.6328151631062
2700.0,642.7180844946283,227.92077387869864,2.862478122415952,338.9066696522176
2800.0,633.994353236436,227.72533550689656,2.790722160603973,336.7788390391671
2900.0,638.3507998414866,228.29322029267297,2.834275936219621,339.1040249940987
3000.0,646.0535764839884,227.94662938010944,2.831548286749122,338.9429088724585
3100.0,650.1686781267384,227.39405811906866,2.862236750454405,337.4227993980335
3200.0,641.9153544800275,225.39926247483018,2.792119337207433,333.9094470228824
3300.0,634.1121601186563,230.23029151730498,2.8050595640532436,334.12937334525776
3400.0,650.4898163683889,224.64904846920933,2.8515025801124314,334.0396856348107
3500.0,648.0640885588309,225.14349728847336,2.8279883488030806,338.77883384636436
3600.0,635.5479511246631,229.78677810133158,2.8297644386747094,333.81017137495616
